PCR 検査陽性者数(単日),死亡者数
1627.0,6393.0
1215.0,6474.0
1568.0,6555.0
1885.0,6676.0
1689.0,6772.0
1297.0,6847.0
1355.0,6910.0
1360.0,6950.0
964.0,7013.0
1305.0,7100.0
1443.0,7194.0
1540.0,7272.0
1297.0,7331.0
1228.0,7415.0
1029.0,7472.0
739.0,7527.0
1078.0,7582.0
923.0,7645.0
1064.0,7720.0
1057.0,7805.0
1208.0,7858.0
994.0,7885.0
684.0,7931.0
887.0,7982.0
1240.0,8050.0
1168.0,8117.0
1145.0,8176.0
1045.0,8225.0
1061.0,8251.0
599.0,8296.0
1125.0,8350.0
1309.0,8400.0
1315.0,8449.0
1268.0,8507.0
1317.0,8558.0
982.0,8588.0
688.0,8620.0
1130.0,8676.0
1520.0,8715.0
1492.0,8756.0
1453.0,8788.0
1517.0,8810.0
1110.0,8833.0
817.0,8859.0
1485.0,8906.0
1924.0,8936.0
1914.0,8965.0
2030.0,8996.0
2073.0,9028.0
1753.0,9058.0
1340.0,9083.0
2077.0,9110.0
2832.0,9159.0
2598.0,9182.0
2742.0,9209.0
2755.0,9217.0
2459.0,9227.0
1553.0,9245.0
2652.0,9275.0
3459.0,9297.0
3455.0,9330.0
3511.0,9350.0
3742.0,9379.0
2848.0,9397.0
2100.0,9422.0
3445.0,9466.0
4302.0,9497.0
4569.0,9535.0
4518.0,9581.0
4790.0,9619.0
4087.0,9638.0
2891.0,9668.0
4327.0,9707.0
5279.0,9761.0
5473.0,9797.0
5117.0,9851.0
5601.0,9910.0
4602.0,9969.0
3303.0,10001.0
4960.0,10052.0
5790.0,10104.0
5896.0,10191.0
4658.0,10226.0
5992.0,10293.0
5880.0,10358.0
4458.0,10416.0
4195.0,10466.0
4052.0,10513.0
4351.0,10585.0
6033.0,10698.0
7244.0,10819.0
6492.0,10872.0
4926.0,10937.0
6236.0,11060.0
7059.0,11161.0
6867.0,11251.0
6268.0,11361.0
6419.0,11459.0
5248.0,11504.0
3677.0,11620.0
5228.0,11848.0
5814.0,11939.0
5712.0,12049.0
5248.0,12158.0
5032.0,12246.0
4032.0,12308.0
2710.0,12394.0
3894.0,12492.0
4527.0,12597.0
4127.0,12710.0
3705.0,12816.0
3589.0,12917.0
2874.0,12964.0
1785.0,13045.0
2640.0,13136.0
3031.0,13241.0
2826.0,13360.0
2586.0,13445.0
2647.0,13519.0
2016.0,13570.0
1278.0,13641.0
1884.0,13739.0
2224.0,13837.0
2041.0,13903.0
1934.0,13972.0
1941.0,14028.0
1382.0,14066.0
929.0,14121.0
1418.0,14182.0
1696.0,14264.0
1550.0,14315.0
1619.0,14360.0
1509.0,14394.0
1303.0,14417.0
864.0,14449.0
1433.0,14491.0
1776.0,14548.0
1669.0,14593.0
1706.0,14621.0
1620.0,14652.0
1280.0,14665.0
989.0,14700.0
1376.0,14735.0
1810.0,14776.0
1742.0,14797.0
1773.0,14819.0
1863.0,14837.0
1479.0,14843.0
1021.0,14857.0
1657.0,14879.0
2181.0,14892.0
2239.0,14912.0
2260.0,14928.0
2453.0,14943.0
2020.0,14950.0
1492.0,14954.0
2376.0,14966.0
3171.0,14985.0
3409.0,15009.0
3420.0,15022.0
3872.0,15035.0
3093.0,15043.0
2318.0,15055.0
3747.0,15074.0
4940.0,15092.0
5390.0,15101.0
4212.0,15110.0
3596.0,15118.0
5030.0,15123.0
4679.0,15131.0
7660.0,15145.0
9625.0,15153.0
10742.0,15166.0
10814.0,15177.0
12413.0,15185.0
10236.0,15190.0
8411.0,15197.0
12149.0,15212.0
14352.0,15221.0
15353.0,15233.0
15797.0,15248.0
15825.0,15266.0
14529.0,15273.0
12141.0,15290.0
10728.0,15304.0
15994.0,15323.0
19038.0,15351.0
20492.0,15376.0
20287.0,15393.0
17887.0,15401.0
14981.0,15424.0
20104.0,15460.0
24091.0,15494.0
25335.0,15527.0
25975.0,15556.0
25633.0,15589.0
22327.0,15624.0
16926.0,15656.0
21664.0,15686.0
24414.0,15730.0
25040.0,15790.0
24305.0,15844.0
22838.0,15889.0
19339.0,15939.0
13668.0,15987.0
17713.0,16034.0
20029.0,16116.0
18206.0,16177.0
16719.0,16240.0
16003.0,16306.0
12891.0,16347.0
8229.0,16380.0
10590.0,16429.0
12384.0,16518.0
10379.0,16596.0
8868.0,16683.0
8790.0,16735.0
6488.0,16790.0
3088.0,16839.0
6649.0,16887.0
6882.0,16952.0
5490.0,17023.0
4759.0,17090.0
4557.0,17149.0
3280.0,17197.0
1916.0,17226.0
1521.0,17269.0
3655.0,17312.0
3820.0,17368.0
1665.0,17414.0
2692.0,17446.0
2095.0,17475.0
966.0,17504.0
1943.0,17544.0
1980.0,17598.0
1568.0,17641.0
1367.0,17676.0
1329.0,17709.0
873.0,17723.0
502.0,17749.0
1104.0,17782.0
1180.0,17812.0
912.0,17849.0
810.0,17895.0
791.0,17920.0
581.0,17934.0
285.0,17952.0
672.0,17979.0
741.0,18013.0
644.0,18044.0
521.0,18070.0
537.0,18084.0
380.0,18095.0
178.0,18113.0
423.0,18138.0
427.0,18149.0
311.0,18165.0
345.0,18175.0
307.0,18183.0
224.0,18191.0
145.0,18199.0
349.0,18213.0
323.0,18220.0
299.0,18229.0
321.0,18245.0
281.0,18253.0
227.0,18260.0
77.0,18267.0
239.0,18274.0
264.0,18282.0
120.0,18288.0
254.0,18298.0
234.0,18301.0
156.0,18302.0
88.0,18305.0
220.0,18308.0
207.0,18310.0
213.0,18315.0
195.0,18315.0
199.0,18317.0
135.0,18319.0
58.0,18319.0
144.0,18323.0
189.0,18328.0
165.0,18334.0
143.0,18334.0
122.0,18339.0
129.0,18339.0
22.0,18341.0
123.0,18343.0
55.0,18344.0
117.0,18345.0
115.0,18349.0
132.0,18350.0
66.0,18350.0
56.0,18351.0
134.0,18352.0
126.0,18354.0
112.0,18355.0
136.0,18356.0
123.0,18356.0
97.0,18356.0
35.0,18357.0
113.0,18359.0
139.0,18361.0
144.0,18363.0
119.0,18364.0
140.0,18365.0
114.0,18365.0
57.0,18366.0
161.0,18367.0
175.0,18368.0
142.0,18370.0
156.0,18371.0
191.0,18371.0
156.0,18371.0
72.0,18371.0
207.0,18373.0
237.0,18375.0
277.0,18378.0
263.0,18378.0
297.0,18379.0
214.0,18379.0
130.0,18379.0
347.0,18381.0
444.0,18385.0
431.0,18385.0
450.0,18385.0
454.0,18385.0
426.0,18387.0
781.0,18388.0
1090.0,18389.0
2491.0,18390.0
4301.0,18390.0
6074.0,18392.0
8311.0,18394.0
8078.0,18395.0
6273.0,18397.0
6239.0,18399.0
13052.0,18404.0
18673.0,18406.0
21891.0,18416.0
25630.0,18422.0
25483.0,18424.0
20835.0,18426.0
32097.0,18436.0
